Year,Month,Mdate,Sensor_Name,Count,Rank
2009,December,12,Melbourne Central,29461,4.0
2009,December,12,Bourke Street Mall (North),28102,5.0
2009,December,12,Flinders Street Station Underpass,21734,6.0
2009,December,12,Australia on Collins,16598,7.0
2009,December,12,State Library,16326,8.0
2009,December,12,Sandridge Bridge,8425,9.0
2009,December,12,New Quay,7239,10.0
2009,December,13,Town Hall (West),33257,1.0
2009,December,13,Bourke Street Mall (South),27941,2.0
2009,December,13,Bourke Street Mall (North),22622,3.0
2009,December,13,Melbourne Central,21887,4.0
2009,December,13,Princes Bridge,21722,5.0
2009,December,13,Flinders Street Station Underpass,18371,6.0
2009,December,13,Australia on Collins,11618,7.0
2009,December,13,State Library,11387,8.0
2009,December,13,Waterfront City,9889,9.0
2009,December,13,Sandridge Bridge,7662,10.0
2009,December,14,Town Hall (West),39486,1.0
2009,December,14,Bourke Street Mall (South),33906,2.0
2009,December,14,Flinders Street Station Underpass,28552,3.0
2009,December,14,Bourke Street Mall (North),26520,4.0
2009,December,14,Flagstaff Station,25817,5.0
2009,December,14,Melbourne Central,24729,6.0
2009,December,14,Princes Bridge,23106,7.0
2009,December,14,Australia on Collins,20599,8.0
2009,December,14,State Library,16634,9.0
2009,December,14,Collins Place (South),15504,10.0
2009,December,15,Town Hall (West),40757,1.0
2009,December,15,Bourke Street Mall (South),33901,2.0
2009,December,15,Flinders Street Station Underpass,29704,3.0
2009,December,15,Bourke Street Mall (North),29325,4.0
2009,December,15,Melbourne Central,26674,5.0
2009,December,15,Flagstaff Station,25906,6.0
2009,December,15,Princes Bridge,24284,7.0
2009,December,15,Australia on Collins,22094,8.0
2009,December,15,State Library,16096,9.0
2009,December,15,Collins Place (South),15492,10.0
2009,December,16,Town Hall (West),35695,1.0
2009,December,16,Bourke Street Mall (South),29874,2.0
2009,December,16,Flinders Street Station Underpass,27486,3.0
2009,December,16,Bourke Street Mall (North),25072,4.0
2009,December,16,Melbourne Central,24404,5.0
2009,December,16,Flagstaff Station,24285,6.0
